inv2,inv1
03934489-1,03934489-1
03936048-2,03936048-2
05306181-3,03936048-2
06393950-1,03936048-2
06617507-1,03936048-2
06719848-1,03936048-2
06719848-3,03936048-2
03936080-1,03936080-1
06047115-1,03936080-1
06091263-3,03936080-1
06817005-1,03936080-1
06817005-2,03936080-1
06817005-3,03936080-1
03936820-2,03936820-2
06530275-1,03936820-2
03937018-1,03937018-1
05076064-1,03937018-1
03937985-1,03937985-1
04701231-3,03937985-1
04933743-2,03937985-1
06074514-1,03937985-1
06576489-1,03937985-1
06830950-3,03937985-1
03938094-1,03938094-1
04491910-2,03938094-1
03938103-1,03938103-1
03938317-1,03938317-1
05308722-1,03938317-1
03939293-1,03939293-1
05168082-2,03939293-1
05783489-2,03939293-1
05858813-3,03939293-1
06527622-2,03939293-1
06527622-4,03939293-1
06527622-5,03939293-1
06853474-0,03939293-1
03940804-3,03940804-3
06099808-1,03940804-3
06099808-2,03940804-3
06099808-3,03940804-3
03940935-1,03940935-1
06046796-5,03940935-1
06334122-1,03940935-1
06349341-1,03940935-1
06727106-4,03940935-1
03940979-3,03940979-3
04914305-2,03940979-3
05093866-4,03940979-3
06259943-3,03940979-3
