Games	Sport	Event	Athlete(s)	CountryCode	CountryName	Medal	ResultInSeconds
2012	Swimming	400m Freestyle Women	Rebecca ADLINGTON	GBR	Great Britain	Bronze	243.01
2012	Swimming	400m Individual Medley Men	Ryan LOCHTE	USA	United States of America	Gold	245.18
2012	Swimming	400m Individual Medley Men	Thiago PEREIRA	BRA	Brazil	Silver	248.56
2012	Swimming	400m Individual Medley Men	Kosuke HAGINO	JPN	Japan	Bronze	248.94
2012	Swimming	400m Individual Medley Women	Shiwen YE	CHN	China	Gold	268.43
2012	Swimming	400m Individual Medley Women	Elizabeth BEISEL	USA	United States of America	Silver	271.27
2012	Swimming	400m Individual Medley Women	Xuanxu LI	CHN	China	Bronze	272.91
2012	Swimming	4x100m Freestyle Relay Men	Fabien GILOT, Amaury LEVEAUX, Clement LEFERT, Yannick AGNEL	FRA	France	Gold	189.93
2012	Swimming	4x100m Freestyle Relay Men	Ryan LOCHTE, Michael PHELPS, Nathan ADRIAN, Cullen JONES	USA	United States of America	Silver	190.38
2012	Swimming	4x100m Freestyle Relay Men	Andrey GRECHIN, Danila IZOTOV, Nikita LOBINTSEV, Vladimir MOROZOV	RUS	Russia	Bronze	191.41
2012	Swimming	4x100m Freestyle Relay Women	Cate CAMPBELL, Alicia COUTTS, Melanie SCHLANGER, Brittany ELMSLIE	AUS	Australia	Gold	213.15
2012	Swimming	4x100m Freestyle Relay Women	Inge DEKKER, Marleen VELDHUIS, Femke HEEMSKERK, Ranomi KROMOWIDJOJO	NED	Netherlands	Silver	213.79
2012	Swimming	4x100m Freestyle Relay Women	Jessica HARDY, Allison SCHMITT, Missy FRANKLIN, Lia NEAL	USA	United States of America	Bronze	214.24
2012	Swimming	4x100m Medley Relay Men	Brendan HANSEN, Michael PHELPS, Nathan ADRIAN, Matthew GREVERS	USA	United States of America	Gold	209.35
2012	Swimming	4x100m Medley Relay Men	Kosuke KITAJIMA, Takeshi MATSUDA, Takuro FUJII, Ryosuke IRIE	JPN	Japan	Silver	211.26
2012	Swimming	4x100m Medley Relay Men	Christian SPRENGER, Hayden STOECKEL, Matt TARGETT, James MAGNUSSEN	AUS	Australia	Bronze	211.58
2012	Swimming	4x100m Medley Relay Women	Dana VOLLMER, Allison SCHMITT, Rebecca SONI, Missy FRANKLIN	USA	United States of America	Gold	232.05
2012	Swimming	4x100m Medley Relay Women	Leisel JONES, Alicia COUTTS, Melanie SCHLANGER, Emily SEEBOHM	AUS	Australia	Silver	234.02
2012	Swimming	4x100m Medley Relay Women	Aya TERAKAWA, Yuka KATO, Haruka UEDA, Satomi SUZUKI	JPN	Japan	Bronze	235.73
2012	Swimming	4x200m Freestyle Relay Men	Ryan LOCHTE, Michael PHELPS, Ricky BERENS, Conor DWYER	USA	United States of America	Gold	419.70
2012	Swimming	4x200m Freestyle Relay Men	Amaury LEVEAUX, Clement LEFERT, Gregory MALLET, Yannick AGNEL	FRA	France	Silver	422.77
