Athlete	CountryCode	Medals
chad le clos	RSA	2
chandra cheeseborough	USA	1
chandra cheeseborough, jeanette bolden, alice brown, evelyn ashford	USA	1
chandra sturrup, sevatheda fynes, pauline davis-thompson, eldece clark	BAH	1
charilaos vasilakos	GRE	1
charles asati, hezekiah nyamau, robert ouko, julius sang	KEN	1
charles bacon	USA	1
charles bennett	GBR	1
charles borah, jimmy quinn, frank wykoff, hank russell	USA	1
charles burnell, raymond etherington-smith, henry bucknall, albert gladstone, gilchrist maclagen, banner johnstone, frederick kelly, guy nickalls, ronald sanderson	GBR	1
charles chandler, james blair, david dunlap, norris graham, duncan gregg, winslow hall, harold tower, edwin salisbury, burton jastram	USA	1
charles daniels	USA	2
charles day, gordon adam, donald hume, george hunt, james mcmillin, bob moch, herbert morris, joseph rantz, john white	USA	1
charles gmelin	GBR	1
charles hefferon	SAF	1
charles hickcox	USA	3
charles hickcox, donald mckenzie, kenneth walsh, douglas russell	USA	1
charles jenkins	USA	1
charles lelong, pierre failliot, robert schurrer, charles poulenard	FRA	1
charles moore	USA	1
charles paddock	USA	3
charles reidpath	USA	1
charles spedding	GBR	1
charlie greene	USA	1
charlotte radcliffe, hilda james, constance jeans, grace mckenzie	GBR	1
charmaine crooks, molly killingbeck, marita payne, jillian richardson	CAN	1
cheryl gibson	CAN	1
chester jastremski	USA	1
chris brasher	GBR	1
chris jacobs	USA	1
chris jacobs, matt biondi, david berkoff, richard schroeder	USA	1
chris mahoney, duncan mcdougall, malcolm mcgowan, colin moynihan, john pritchard, richard stanhope, john clay, andrew justice, allan whitwell	GBR	1
christa stubnick	GER	2
chris thompson	USA	1
christiane huth, annekatrin thiele	GER	1
christiane knacke	GDR	1
christiane pielke, iris zscherpe, susanne schuster, karin seick	FRG	1
christiane wartenberg	GDR	1
christian gille, tomasz wylenzek	GER	3
christian gitsham	SAF	1
christian ryan, nick porzig, mike mckay, stuart welch, robert jahrling, brett hayman, alastair gordon, daniel burke, jaime fernandez	AUS	1
christian sprenger	AUS	1
christian sprenger, hayden stoeckel, matt targett, james magnussen	AUS	1
christina lathan-brehmer	GDR	2
christina lathan-brehmer, barbara krug, marita koch, gabriele l?we	GDR	1
christina lathan-brehmer, doris maletzki, brigitte rohde, ellen streidt	GDR	1
christine collins, sarah garner	USA	1
christine gosse, h?l?ne cortin	FRA	1
christine magnuson	USA	1
christine ohuruogu	GBR	2
christine wachtel	GDR	1
christoph h?hne	GDR	1
chris von saltza	USA	2
chris von saltza, shirley stobs, joan spillane, carolyn wood	USA	1
chris williams, danny mcfarlane, michael blackwood, greg haughton	JAM	1
claire dennis	AUS	1
clarence demar	USA	1
clarke scholes	USA	1
claude piquemal, g?rard f?nouil, jocelyn delecour, roger bambuck	FRA	1
claudia blasberg, daniela reimer	GER	1
claudia blasberg, valerie viehoff	GER	1
claudia kolb	USA	3
claudia poll	CRC	3
claudia zaczkiewicz	FRG	1
clement chukwu, sunday bada, jude monye, enefiok udo-obong	NGR	1
cliff cushman	USA	1
clinton hill, patrick dwyer, mark ormrod, john steffensen	AUS	1
clint robinson	AUS	2
